Seite;Nr.;Datum;User;;Sterne;Überschrift;Bewertung (Worte)
;331;06. Feb 14;"apoclem ""CD""";;5;Sehr zufrieden;"In unserer offenen Wohnküche im HUF-Haus ist dies in 30 Jahren der dritte Kühlschrank,

Wegen der Geräuschsbelästigung hatten wir vorher einen kleinen Kompressor-Kühlschrank, der
leise war, aber gierig nach Energie. Schön integriert hinter einer Holztür. Und nicht langlebig.

Der zweite, diesmal kein Kompressor, war unerträglich laut, stromhungrig und gab auch nach 10 Jahren den Geist auf.

Nun stand meiner Frau der Sinn nach einem grossen Standgerät, unverkleidet aber im Metallic-Finish, das mehrere
Klimazonen hat und den häufigen Gang zum grossen Vorratskühlschrank im Keller ersparte.
Ich war zunächst skeptisch wegen der Geräuschkulisse, die Rezensionen beruhigten mich aber etwas.

Nach einigen Monaten Gebrauch sind wir total zufrieden.
Es ist kein nerviges Anlaufen eines Kompressors zu hören wie beim kleinen Vormodell, nur leise gurgelnde Geräusche
von Zeit zu Zeit.

Die verschiedenen Klima- und Feuchtezonen überzeugen total.
Die Beleuchtung ist dezent, aber effektiv.

Das fast baugleiche Schwestermodell der Partnerfirma hat ein geringfügig abweichendes Design."
;332;17. Feb 14;Helios;;5;Sehr guter Kühlschrank;Qualitativ sehr hochwertig, gute Funktionalität und energieeffizient. Die verschiedenen Fächer für Fleischprodukte und Gemüse sind gut durchdacht und halten, was sie versprechen. Absolut nichts auszusetzen und deshalb 5 Sterne.
;333;18. Feb 14;Isabel Werth;;5;Super zufrieden!;"Mit der Lieferung hat es etwas gedauert ca.10Tage, das warten hat sich gelohnt, das auspacken, aufstellen und einschalten war sehr einfach und alles läuft wie am Schnürchen.
Dazu sieht der Kühlschrank noch super aus, hat die optimale größe für uns, 2 Erw. + 2 Kinder!
Die Lebensmittel haben eine sehr gute frische, merke ich jetzt nach dem unser alter K-Schrank endlich entsorgt ist.
Alles in allem sind wir sehr zufrieden, rundum :-)"
;334;20. Feb 14;mathieu Clément-Ziza;;4;excellent;"makes the job well. I am impressed how the vegetables are well conserved with their technology. Same goes with the meat/fish special compartment. The only minus is that you cannot turn off the freezer without turning off the fridge; neither the reverse."
;335;23. Feb 14;Jürgen Heller;;5;Energie ist teuer und der Kühlschrank laut ?;"In meine Augen ein absolutes Top Produkt.
Wer wie wir unserern 15.jahren alten Kühlschrank ersetzt haben, wunderter sich so leise ??
Und da haben doch so einige hier geschrieben laut !
Wir können nur sagen Top , toller Platz innen nicht laut und Top Verbrauchskosten.
"
;336;23. Feb 14;Wolfgang Haberecht;;5;Gefrierkombie Siemens Super Kühlschrank;"habe mit dem Kühlschrank schon lange geliebäugelt, war mir nur immer zu teuer, da der alte noch immer gut lief ( auch Siemens)
nun hat mir der Preis gefallen und die Lieferung war auch kostenlos.
Bin sehr zufrieden und alles hat super geklappt."
;337;07. Mrz 14;Timmey;;5;Top Kühlschrank !!!!!;"Kühlschrank !! Super Geil !!! ;-)

Macht alles was er soll, wir sidn sehr begeistert, auch wenn ich erst zu einer günstigereren Variant greifen wollte hat sich dei Entscheidung gelohnt.
Der Kühlschrank verbraucht weniger storm als mein altes kleines Einbaugerät von AEG.

Das Raumkonzept ist Top ! Tiefkühltuhe ist auch sehr gut, wir sind nur 2 Personen der Kühlschrank reich aber auch sicherlich für eine 4 Personen Haushalt.

Die oft beschriebene Geräusche sind für uns kein Problem und wir emfinden den Kühlschrank auch nicht als laut er steht bei uns in der Nähe des Wohnzimmers und sört uns überhaupt nicht.

Tip: Am besten den Kühlschrank nicht ins Schlafzimmer oder vor die Schlafzimmer Tür stellen.

Klare Kaufempfehlung. Potentielle Käufer sollten sich nicht von den Rezessione bzgl. der Lautstärke abrschrecken lassen, dies ist sicherlich supjektives Empfinden, dennoch ist ja eine Küche keine Bibilothek und der Kühlschrank auch nicht wirklich lauter als normale Kühlschränke.

Ausserdem A+++ und für den Energieverbrauch bei der Kühlleistung TOP TOP TOP !"
;338;07. Mrz 14;Yvette Lohse;;1;Absoluter Reinfall;"Ich habe mir diesen Kühlschrank leider nicht im Internet gekauft sondern bei Höffner, das war was Haushaltgeräte betrifft mein letzter Ladenkauf.
Bei einer Internetbestellung hätte ich das Gerät sofort wieder abholen lassen.
Die KG Kombi eigentlich ganz ok, wenn da nicht die lästigen Geräusche wären.
Der Kühlschrank gluckert und rattert das ich ihn am liebsten vor die Tür schicken würde.
Es ist eine Schande das Siemens sowas als modernes Haushaltgerät verkauft und man erst vom Kundendienst bzw. beim lesen der Bedienungsanleitung erfährt das diese Geräusche normal sind.
Die bei der Stifftung Warentest haben warscheinlich einen Hörschaden das Gerät als leise zu empfehlen.
"
;339;09. Mrz 14;S. M.;;5;sehr zufrieden;Alles, was beworben wird, stimmt. Die Kinderhand hinterlässt keine Abdrücke, der Innenbereich ist sehr gut durchdacht und übersichtlich. Mehr weiß ich nicht zu sagen, denn ich habe die Kühlkombination meiner Tochter geschenkt, die 400 km von mir entfernt wohnt und mir das mitgeteilt hat. Also, ich würde mir diese Kühlkombination auch kaufen, aber ich brauche keine.
;340;11. Mrz 14;MueDi;;4;Kühlt und ist relativ leise;"Aber eben auch nur ""relativ"" leise. Wo andere Kühlaggregate laut brummen, ist hier ein dauerndes Rauschen zu hören. Das kann manchmal ausgesprochen nervig sein. In einer abgeschlossenen Küche die eine gewisse Entfernung von Schlaf- und Wohnzimmern hat sicherlich kein Problem. Nichts für eine Wohnküche und Menschen, die auch gerne mal etwa Ruhe haben wollen.
Ansonstne erfüllt der Kühlschrank was er verspricht. Kühlt gut, gute Aufteilung."
;341;12. Mrz 14;Volker-Christian Stock;;5;Erstklassiges Preis - Leistungsverhältnis;"Groß, sparsam und leise. Hält Fleisch und Gemüse überraschend frisch.
Alle Fächer sind gut erreichbar und einfach zu reinigen.
Daher volle Wertung"
;342;14. Mrz 14;Paul Burgard;;5;Ein Energiewunder wie versprochen;Schickes Äußeres und geringer Energieverbrauch zum günstigen Preis. So wünscht man sich einen Kühlschrank. Ich hätte beim nächsten mal auch die Seiten in Edelstahl genommen, die wirken etwas künstlich.
;343;25. Mrz 14;Hans L;;2;Laut, läuft sehr oft;BVon diesem Gerät bin ich enttäuscht. Sieht zwar super aus, läuft aber sehr oft und lange und ist sehr laut.
;344;26. Mrz 14;"hheinrich ""hheinrich""";;5;Gute Kombi;"1 zur Lieferung:
- Festtermin und Altgeräteentsorgung vereinbart.
Bereits 1h vor der Zeit Ankündigung des Eintreffens.
Zwei Herren von Hermes brachten die Kombi in den 2. Stock. Auspacken, in die Küche gestellt, Altgerät und Verpackung
mitgenommen. In 15 Minuten war alles zur vollsten Zufriedenheit erledigt.
2. zur Kombi
- Es ist schon alles geschrieben.
Das Gerät ist nicht lautlos, dennoch von der Lautstärke - für meine Ohren - keinesfalls als störend zu empfinden.
Ein weiterer guter Kauf bei Amazon."
;345;28. Mrz 14;Sanni;;3;Geräuschkulisse, Verpackung und Transport;"Wir haben den Kühl/Gefrierschrank seit ca. einer Woche in Betrieb.

Ich muss mich allen anschließen, die negatives zu den Geräuschen schreiben.
Das Gerät ist auch manchmal nicht zu hören. Meistens jedoch läuft der Lüfter oder es Grummelt und Blubbert.
Nutzern von offenen Wohnküchen würde ich von diesem Gerät daher ganz klar abraten!

Die Verpackung ist mieserabel und dünn.
Unser Gerät hat links und rechts an den Außenseiten mehrere Dellen.
Außerdem wurde das Gerät beim Entfernen der Verpackung zu stark gekippt. Jetzt haben wir auf dem Parkett mehrere Schrauben-Abdrücke.
Desweiteren Empfehle ich beim Rollen des Gerätes an den Aufstellungsort etwas unterzulegen. Die Rollen, die unten montiert sind haben Rillen und würden sonst ein Muster auf Holz oder Korkbelägen hinterlassen.

Wir haben uns aufrund der guten technischen Bewertung für dieses Gerät entschieden.
Das Umhängen der Türen ging problemlos.
Die Verarbeitung des Gerätes und des Zubehört für den Innenraum ist sehr wertig."
;346;14. Apr 14;"Wolf ""Einkäufer""";;5;Super Kühlgefrierkombination;Sehr gute, hochwertige Verarbeitung. Lebensmittel bleiben deutlich länger frisch. Sehr gute Ausleuchtung des Kühlraumes und gute, variable Ablagemöglichkeiten. Das Wechseln des Türanschlages dauert etwas, ist aber bei Beachtung der Anweisungen und entsprechenden Werkzeugen zu zweit in ca. 40 Minuten erledigt. Die Kombination sollte dazu auf die Rückwand (Decke unterlegen) gelegt werden. Der Geräuschpegel ist ok. Wir sind nach jetzt ca. 3 Wochen Benutzung sehr zufrieden. Sehr gutes Preis-Leistungsverhältnis.
;347;22. Apr 14;Christian Ulrich;;3;Leider nicht richtig durchdacht.;"Ich habe den Kühlschrank im Oktober 2011 gekauft. Damals für 666,09€.
Jetzt schreibe ich mal was mir an dem Kühlschrank gefällt und was nicht.

Positiv:
-groß und geräumig
-sieht schick aus
-kühlt sehr schnell runter

negativ:
-relativ laut(ist aber nicht sehr störend)
-wenn man ihn reinigt muss man ihn ausstellen (dann hat man kein Licht mehr) oder jede Minute die Tür schließen sonst schlägt er Alarm,
-es bildet sich sehr viel Kondenswasser unter dem Obstfach,
-wenn die Tür aus versehen einen kleinen Spalt geöffnet bleibt ertönt kein Alarm, ich denke dann braucht man sowas auch nicht einbauen,
-sehr anfällig gegen Dellen,
-ich hatte die Temperatur mal auf 7°C eingestellt und die Ecken fingen an zu schimmeln, ist ja fast nicht schlimm kann man ja wegwischen, außer hinter der Kühlwand die fest verbaut ist (ich will nicht wissen wie es dort aussieht)"
;348;24. Apr 14;Franz Belay;;5;Die Kombi hält was sie verspricht;"Nach dem auspacken das erste ""AHA Erlebnis"" denn das Gerät sieht echt chic aus. Nach dem öffnen der Türe die zweite erfreuliche Erkenntnis. Der Innenraum ist großzügig, die Ausstattung durchdacht, die Materialien wirken nicht billig (mehr Glas als Plastik) und die Nutzungsmöglichkeiten sind vielseitig.
Nach einer Ruhezeit, folgte das anschließen an den Strom und hätte Pipston das Kühlen nich angekündigt wäre die Kombi kaum zu hören.
Mein persönliches Fazit: ich bin froh wieder einmal etwas mehr Geld investiert zu und einen Marken Artikel gekauft zu haben denn die Kühl und Gefrier Kombination erfüllt bis jetzt alle Erwartungen und wenn sie jetzt noch 18 Jahre hält wie die Letzte dann bin ich rundum zufrieden."
;349;02. Mai 14;":(){ :|:&};: "":(){ :|:&};:""";;4;Seltsame Geräuschkulisse :);"An sich finde ich den Kühlschrank sehr gut.

PRO:

Das Gemüse hält doppelt so lange frisch als in meinem ""alten"". Es sind genug Ablagen und Fächer vorhanden um alles unter zu bringen.
Die Gefrierfächer (3 Schubladen) haben unterschiedliche höhen, gut um auch etwas grösseres einzufrieren. Die unterste Schublade ist deutlich kürzer, so dass hier nicht wirklich viel reingeht.

CONTRA:

Was ich nicht so gut finde, ist die Geräuschkulisse.

Vor lauter schnurren, gluckern und zischen bleibt die Küchentür nachts geschlossen.
Mein ""alter"" hat zwar gebrummt, das aber in nur einer Tonlage woran man sich gewöhnen konnte.
Bei dem Siemens wurde ich nachts wach."
;350;04. Mai 14;Nika;;5;Für mich der Mercedes unter den Kühlschränken…;"zumindest in dieser Preisklasse.
Einteilung und Ausstattung durch Klarglas perfekt und dadurch absolut übersichtlich. crisper und coolbox halten das was sie versprechen.
Auch die Schubladen des Gefrierteils sind durch ihre Transparenz praktisch und auch geräumig.

Die bei den Bewertungen manchmal angesprochenen Störgeräusche sind für mich nicht relevant, da ich eine reine Kochküche habe, wer jedoch in einer Wohnküche neben dem Kühlschrank sitzt, könnte sich vielleicht gestört fühlen obwohl ich die Geräusche nicht als laut empfinde.

Ich würde den Kühlschrank jederzeit weiterempfehlen."
;351;07. Mai 14;Kunde;;1;Viel Wasser unter dem Gemüsefach;"Ich benutze diesen Kühlschrank nun seit 1 Jahr und habe ihn im Fachhandel, also nicht online, gekauft. Auch ich habe sehr viel Kondenswasser unter der Gemüseschale. Gemüse verschimmelt darin im Gegensatz zu meinem alten Kühlschrank in Rekordzeit. Der Kundendienst vom Siemens meinte, dass ich nichts falsch gemacht hätte und dass das von Siemens gewollt sei. Das würde die Ware länger frisch halten. Und man könne nichts dagegen machen. Er gab mir umsonst eine Einlegematte, die er ""zufällig"" dabei hatte. Das Problem ist, natürlich, dadurch nicht behoben."
;352;13. Mai 14;Berliner;;5;Eine Ausgezeichnete Kühlgefrierkombi;"Der Artikel überzeugt in allen Katogorien,nicht umsonst Testsieger.
Die Anlieferung und bereitstellung waren vorbildlich.
Ich kann die Kühlgefrierkombi nur weiter empfehlen."
;353;13. Mai 14;Frank Geschwandtner;;4;Nicht perfekt - aber schon nah dran;"Wir haben den Kühlschrank für 660 Euro inkl. Lieferung über Amazon gekauft, da unser altes Schätzchen plötzlich nicht mehr wollte. Es ging über den Subunternehmer ""Wagner"" und es lief angenehm schnell und unkompliziert. Nach nur drei Werktagen stand der Kühlschrank vor der Tür. Aber eben nur vor der Tür, da Wagner nur bis zur Bordsteinkante liefert. Kann nur empfehlen, die Lieferkonditionen im Vorfeld zu beachten! Wir haben es in der Eile nicht gemacht, doch da wir im Erdgeschoss wohnen, konnte ich das ca. 2,10 m hohe Paket dank Sackkarre auch alleine an seinen neuen Arbeitsplatz verfrachten.

Nach dem Auspacken erstrahlte er in voller Pracht. Es ist ein wertig wirkendes Stück Technik. Bin froh, dass wir uns für die weiße Variante entschieden haben. Der Kühlschrank ist wirklich groß, in Weiß wirkt er aber nicht ganz so wuchtig. Wäre der SIEMENS-Schriftzug aus erhabenen Chrombuchstaben, hätte es mir vermutlich noch besser gefallen als mit diesen Klebefolienbuchstaben. Aber darauf kommt es ja nicht wirklich an.

Für den Türschlagwechsel benötigt man nur minimales handwerkliches Geschick (und ein leider nicht beiliegendes Trox-Bit). Den Wechsel habe ich gemäß der Anleitung auch alleine bewerkstelligen können – ohne Kratzer zu hinterlassen. Ich frage mich allerdings, warum der Türschlag nicht standardisiert an Rechtshänder angepasst ist, schließlich sind nur ca. 10% der Menschen Linkshänder.
Mit dem Ausrichten des Kühlschranks habe ich mir viel Mühe gegeben, da ich leichte Bedenken wegen der berühmten Geräuschkulisse hatte und vermeidbare Gründe gleich im Vorfeld ausmerzen wollte. Dann gönnte ich ihm noch 2 Stunden Pause, statt der empfohlenen 1 Stunde.

Nach dem Einschalten machte er deutliche Geräusche, die auf Dauer schon leicht aufdringlich wurden. Aber nach nur 3 Stunden hatte der Kühlschrank seine eingestellte Temperatur erreicht (das erkennt man daran, dass die Alarm-Lampe dann nicht mehr leuchtet) und dann wurde der Kühlschrank auch deutlich leiser.
Nach ein paar Tagen im Einsatz fällt die Geräuschkulisse überhaupt nicht negativ auf. Er ist entweder sehr leise oder komplett lautlos.

Ein paar kleine Kritikpunkte habe ich aber leider doch:
- In der Coolbox (für Fleisch) ist es kaum kälter als im Kühlraum (ca. 0,5-1 Grad weniger). Dass es da auch mal an die 2-3 Grad kälter als die eingestellte Kühlraumtemperatur sein soll, entspringt wohl eher dem Wunschdenken der Marketing-Abteilung.
- Der Türalarm taugt nicht viel. Statt nach einer Minute, ging er bei weit geöffneter Tür des Kühlraums erst nach über zwei Minuten los und die weit geöffnete Gefrierschranktür habe ich nach 3 Minuten wieder geschlossen, ohne dass der Alarm sich dafür interessiert hatte. Sind die Türen nur leicht geöffnet (was ja eher dem Alltags-Problem entspräche), funktioniert der Alarm überhaupt nicht. Und falls er dann doch mal losgeht, wäre es wünschenswert, wenn der Schriftzug ""Alarm"" dann auch leuchten würde, ansonsten ist die Taste zur Deaktivierung im Dämmerlicht nicht gut zu finden.
- Es wäre schön gewesen, wenn eine Butterbox enthalten gewesen wäre. Unsere passt nämlich nicht in das vorgesehene Fach. Dafür hätte ich gut und gerne auf die Eierablage verzichten können, da diese bei uns eh im Karton bleiben.
- Und für einen Kühlschrank dieser Preisklasse, hätte ich mich auch sehr über eine Beleuchtung des Gefrierfachs gefreut.

Da der Kühlschrank dann leider doch etwas Potenzial für Kritik zulässt, ziehe ich einen Stern ab. Abgesehen davon sind wir bisher sehr zufrieden."
;354;14. Mai 14;Ulrich Mönnekes;;5;es war ein guter Kauf;"Nach langem Überlegen und studieren vieler Rezensionen, haben wir uns zum Kauf dieser Kühlgefrierkombi entschlossen. Da die vielen Rezensionen sehr hilfreich bei Kaufentscheidung waren, möchte ich ihnen meine Eindrücke und Erfahrung mit diesem Gerät nach gut 5 Wochen schildern.

Zunächst einmal 2 Punkte die mir nicht gefallen haben:
1 - Ich hatte die Kombi in Edelstahl bestellt und bezahlt. Allerdings sind nur die Türen in Edelstahl, die Seiten sind irgendwie grau/silber lackiert. Dabei hatte ich in der Beschreibung darauf geachtet, das ""chrome Inox-metallic / antiFingerprint"" aufgelistet war. Vielleicht hätte ich doch ""edelstahllook"" ankreuzen müssen!? - ich weiss es nicht...

2 - Die Bestellung war am 1. April (kein Scherz) und die Lieferung war zum 8. April avisiert. Soweit ist alles OK.
Dann erhalte ich eine eMail über die Sendungsverfolgung mit voraussichtlichem Liefertermin 5. April. Na toll...
Die Altgerätentsorgung war mit vereinbart und so habe ich das alte Gerät abends vorher noch ausgebaut und gereinigt zu Abholung bereitstellt. Da ich Samstags berufstätig bin, musste noch ich jemanden ""organisieren"", der tagsüber zugegen war um das Gerät in Empfang zu nehmen. Natürlich kam das Gerät nicht am 5. April sondern wie avisiert am 8. April - folglich war ich von Fr. - Di. OHNE Kühlschrank! :(

Normalerweise sehe ich über kleine ""Unpässlichkeiten"" hinweg, denn niemand ist perfekt, aber ich denke, das das doch schon ein gravierender Fauxpas war, für den das Gerät keinen Punktabzug verdient hat!

+++++

Kommen wir nun zum wesentlichen, der Kühlgefrierkombi.
Das Gerät ist einfach toll, sieht gut aus und hat richtig viel Platz. Die Edelstahloberfläche (leider nur die Tür, s. o.) lässt sich wirklich sehr leich sauber halten, bzw. reinigen. Alle verbauten Teile sind sehr wertig und auch die Kunststoffteile und Schubladen fühlen sich sehr angenehm an (nicht so wie billiges Plastik).
Das Sicherheitsglas der Abstelflächen hat, wie ich finde einen rutschhemmenden Effekt, und klappert auch nicht so wenn man ein Glas drauf stellt. (als wenn es ganz leicht gummiert wäre)

Das Gemüsefach auf Rollen ist optisch, wie auch praktisch ein ""Hingucker"". Wenn man den Kühlschrank öffnet fällt der Blick sofort auf schönen frischen Salat und Gemüse, das sich viel länger hält als in unserem alten Gerät.
In der Tür lassen sich gängige Getränkeflachen und Karaffen verstauen und sind durch die Anpressvorrichtung gegen klappern und verrutschen gesichert. Hierbei zähle ich 1,5 Ltr. Flaschen und Sondergrößen NICHT zum Standard!

Auch im Gefrierfach hat man durch die Klarsichtboxen alles im Blick. Sehr angenehm ist auch die getrennte Temperaturregelung. Ich habe allerdings die Temperatur des Kühlschranks statt der Auslieferungstemperatur von 4° auf 6° gestellt, da mir persönlich 4° zu kalt waren. Die Standardtemperatur von 18° im Gefrierabteil habe ich so belassen.

Geräusche - JA, die Kühlgefrierkombi macht Geräusche...
Als das Gerät geliefert, aufgestellt und angeschlossen wurde - die Lieferung und Altgräteentsorgung im 1. Stock war übrigens einwandfrei - haben wir das Gerät nach 6 Stunden abends in Betrieb genommen. Die Kombi war deutlich zu hören und wäre auf Dauer bestimmt unangenehm gewesen.
Am anderen morgen war alles auf ""Bertiebstemperatur"" und kaum noch Geräusche zu hören. Die Kombi macht andere Geräusche als
unser alter Einbaukühlschrank. Nicht mehr dieses sonore brummen, sondern leichte gurgel Töne bzw. leichtes Ventilatorsummen.
Von daher sollte man sich auf diese ""anderen"" Töne einstellen und das alte ""brummen"" vergessen.

Ich persönlich finde, das ich diese neuen Geräusche in unserer Wohnküche getrost vergessen kann, denn:
- unser AEG Umluftherd ist im Betrieb lauter.
- unsere SENSEO ist im Betrieb lauter.
- unser SIEMENS Geschirrspüler ist im Betrieb lauter.
- das Küchenradio ist im Betrieb lauter.
- jede Konversation ist lauter.
- die Küchenmaschine.... (bedarf keiner Diskussion)

Ich habe auf jedenfall ein tolles Gerät erworben über das ich nichts gravierend negatives berichten kann. Daher gebe ich 5 Sterne und ihnen - sofern Sie eine ""andere Geräuschkulisse"" bei Kühlgeräten nicht stört - eine klare Kaufempfehlung.

+++++

Nachtrag vom 17.7.2014:
Nach wie vor bin ich von dieser Kühlgefrierkombination begeistert, zumal ich jetzt mehr Informationen bezüglich des Verbrauches habe.
Ich habe meine Stromrechnungen von April, Mai, Juni mit den Werten des letzten Jahres verglichen und eine sehr erfreuliche Reduktion meiner Stromkosten von 12-15 Euro pro Monat zur Kenntnis genommen. :)
Das Bier zu Weltmeisterschaft war auch schön kalt... (Es passen 2 Tischfässchen von 5Ltr. in dem unteren Fach liegend rein)
:)

+++++

Wenn Ihnen die Rezension gefallen oder geholfen hat, würde ich mich über eine Bewertung sehr freuen. Auf diese Art kann der Rezensent erfahren, ob sich die Mühe hilfreich war.

Vielen Dank!"
;355;16. Mai 14;james.004;;5;… es sollte ein Kühlgefrier-Gerät- A+++ 'Extraklasse' sein. Eine gute Wahl !;"... im Jan. 2014 fuer 729 € gekauft.
Ein schönes Standgerät in der Küche, zumal der übrige Gerätehochschrank anderweitig verwendet werden kann.!
Mir gefällt besonders,die graumetallic-Oberfläche der Türen, das untere gut einsehbare Gemüsefach,
die Temperaturanzeige,die super Beleuchtung und allgemein recht gute Ausstattung und Verarbeitung zu einem
moderaten Preis.! Die Türen schließen leise. Der Lärmpegel der kühlenden Siemens-Geräte beträgt
30-32 dB/(gemessen mit Smartphone-App) M.E. völlig in Ordnung,da die Obergrenze mit 38 dB angegeben ist !!.
Mein Tip: Die Gefrierschranktüre immer gut zudrücken.!
Vergleichbare Geräte haben 38- 40 dB.! Ob das Gerät mit zunehmendem Alter lauter wird; kann durchaus sein.!
Allgemein ein sehr guter Kauf.!

Made in Turkey
Gruss von oberbayern.de"
;356;25. Mai 14;Patrick;;5;Super Kühlschrank!;"Preis-Leistung stimmt. Er ist ca. 3x so groß wie unser vorheriger, bietet also ausreichend Platz. Ist funktional und lässt sich den individuellen Bedürfnissen anpassen.
Habe auch den Stromverbrauch über 3 Monate gemessen und komme hochskaliert auf 122 kWh/Jahr, also noch unter der Herstellerangabe."
;357;27. Mai 14;Jo Weber;;5;Sehr gut!;"Ich möchte nicht wiederholen, was die meisten Vorgänger schon geschrieben haben. Der Kühlschrank ist voll in Ordnung..
Ich habe die Temperatur gemessen, bei mir ist es mit den eingestellten 7 Grad meistens 8, also noch im Toleranzbereich. Interessant ist der gemessene Verbrauch: bei eingestellten 7 Grad (-17 Gefrierteil) und ca. 20 Grad Innenraumtemperatur verbraucht er auf das Jahr bezogen 122 kWh. Die Messdauer: 1 Woche. Also weniger als angegeben.
Was die Akustik anbetrifft: er ist laut, wie die meisten Kühlschränke. Wenn man ein Gerät für die Wohnküche braucht, sollte man anderes Gerät holen. Besonders wenn man noch dazu im gleichen Raum schläft. Steht er in der Küche, ist die Lautstärke kein Problem.
Türwechsel ist am besten zu zweit zu bewältigen. Man muss das Gerät kippen. Die Anleitung ist ausführlich. Man braucht extra einen Bitschraubenzieher - zu bekommen in jedem Baumarkt, allerdings denke ich, dass die Montageabteilung noch was dazu verdienen möchte :) Einfache Schlitz-/kreutzschraube wäre genauso gut gewesen.
Unverständlich für mich, warum man die Kühlschränke für Linkshänder ausliefert. Die meisten Menschen machen die Tür mit der linken Hand auf und greifen mit der rechten..."
;358;30. Mai 14;Alexander W.;;4;Empfehllenswertes Produkt mit kleinem Minuspunkt;"Habe die Kühlgefrierkombi als Nachfolger für unseren defekten LG GB7143AESF gekauft. Es sind preislich gesehen Welten dazwischen, man kann zwei Siemens für den Preis von einem LG kaufen. Entschied mich aber für dieses Model, da ich es bei unserem Elektrohändler zuvor genauer anschauen konnte. Das Gerät kam pünktlich, zuvor tlefonische Terminierung mit Hermes. Den Kühlschrank habe ich dann nach sechs Stunden Ruhezeit in Betrieb genommen. Estaunlicherweise war die Kühltemperatur nach 90 Minuten erreicht, allerdings habe ich die ""super"" Tasten für Vollast aktiviert. Erstaunlich waren auch die relativ leise Arbeitsgeräusche vom Kühlschrank, im Vergleich zum Vorgänger. Jetzt nach Paar Tagen Gebrauch und schnellem kühlen vom Großeinkauf für eine Woche vier Personen, kann ich sagen, dass ich die richtige Entscheidung getroffen habe. Ich habe gleich zu Beginn einen Stroverbrauchmesser rangehängt und will ihn einen Monat dran lassen. Was ich aber jetzt schon sagen kann, die Tendenz geht in Richtung einhalten der versprochenen nidrigen Verbrauchswerten. Das einzig störende am Kühlschrank sind die blubbernde Strömungsgeräusche die mann immer wieder wahrnimmt. Das hat der alte Kühlschrank auch gemacht, aber nicht so intensiv. Ich denke jedoch man gewöhnt sich dran."
;359;05. Jun 14;Daniel Krämer;;5;Schmuckstück;"Anlieferung durch Amazon wie immer super. Sieht klasse aus, hochwertig im Innenraum und ein besonders schönes, kühles Licht.
Bietet enorm viel Platz in verschiedenen Fächern, bei sehr geringem Stromverbrauch. Bin sehr zufrieden."
;360;09. Jun 14;Uli L.;;5;Top!;"Nach über einem Jahr nutzung kann ich sagen das wir mit dem Kühlschrank vollstens zufrieden sind.
Alles funktioniert super und auch die Geräuschkulisse ist nicht höher als bei vergleichbaren Modellen.

Ich würde ihn jederzeit wieder kaufen.
"
;361;10. Jun 14;Gerd Lanclée;;5;nach 10 Jahren war eine neue Kühl-Gefrierkombination fällig…;"Der KG39EAW40 ist ""riesig"" aber er ist umweltfreundlich wegen seines geringen Verbrauchs und ""schlägt"" andere Geräte um ""längen""....außer das identische Gerät von Bosch."
